metro,ccode,year,qtr,period,lh_emp,total_emp,lh_share,is_host,lh_imputed,cohort,treated,d,log_lh
Atlanta,C1206,2014,1,0,241387.0,2289041.6666666665,0.10545330105393451,1,False,20.0,1,0,12.394156733668542
Atlanta,C1206,2014,2,1,258291.66666666666,2338121.0,0.11046976040447293,1,False,20.0,1,0,12.461844716336111
Atlanta,C1206,2014,3,2,259804.33333333334,2353098.0,0.11040948287463308,1,False,20.0,1,0,12.467684062576584
Atlanta,C1206,2014,4,3,257324.33333333334,2395061.6666666665,0.10743954400617382,1,False,20.0,1,0,12.458092565633931
Atlanta,C1206,2015,1,4,253545.33333333334,2371483.0,0.10691425295198546,1,False,20.0,1,0,12.443297915742539
Atlanta,C1206,2015,2,5,268532.6666666667,2409968.0,0.11142582252821062,1,False,20.0,1,0,12.50072784909365
Atlanta,C1206,2015,3,6,270220.6666666667,2427503.3333333335,0.11131629067450645,1,False,20.0,1,0,12.506994188136458
Atlanta,C1206,2015,4,7,267253.0,2470464.0,0.10817927320535738,1,False,20.0,1,0,12.495951054268627
Atlanta,C1206,2016,1,8,265314.6666666667,2449379.3333333335,0.10831914152945957,1,False,20.0,1,0,12.488671821924816
Atlanta,C1206,2016,2,9,282759.0,2492557.3333333335,0.11344132237947853,1,False,20.0,1,0,12.552350223710523
Atlanta,C1206,2016,3,10,280156.7922265154,2504617.6666666665,0.1118561111961528,1,True,20.0,1,0,12.543104697662994
Atlanta,C1206,2016,4,11,277578.53235671023,2542729.3333333335,0.1091655838935971,1,True,20.0,1,0,12.533859171615466
Atlanta,C1206,2017,1,12,275024.0,2525012.0,0.1089198784005779,1,False,20.0,1,0,12.524613645567937
Atlanta,C1206,2017,2,13,291070.0,2560583.3333333335,0.11367331662707064,1,False,20.0,1,0,12.581319067054338
Atlanta,C1206,2017,3,14,291580.0,2571002.6666666665,0.11341100644521568,1,False,20.0,1,0,12.583069689658814
Atlanta,C1206,2017,4,15,289530.3333333333,2611615.6666666665,0.11086253503099677,1,False,20.0,1,0,12.576015348859801
Atlanta,C1206,2018,1,16,285415.0,2585411.0,0.11039444018765295,1,False,20.0,1,0,12.561699540457354
Atlanta,C1206,2018,2,17,298932.0,2616145.3333333335,0.11426429418549122,1,False,20.0,1,0,12.60797140175873
Atlanta,C1206,2018,3,18,299790.3333333333,2629488.6666666665,0.11401088627370645,1,False,20.0,1,0,12.61083862041276
Atlanta,C1206,2018,4,19,292798.6666666667,2659457.3333333335,0.11009714763864106,1,False,20.0,1,0,12.587240507324863
Atlanta,C1206,2019,1,20,294039.3333333333,2662227.6666666665,0.11044860550994699,1,False,20.0,1,1,12.591468824220229
Atlanta,C1206,2019,2,21,305714.6666666667,2685609.3333333335,0.11383437749943277,1,False,20.0,1,1,12.630407484047863
Atlanta,C1206,2019,3,22,305423.6666666667,2695372.0,0.11331410531335441,1,False,20.0,1,1,12.629455162761108
Atlanta,C1206,2019,4,23,300277.6666666667,2730045.6666666665,0.10998997941060083,1,False,20.0,1,1,12.61246288113146
Atlanta,C1206,2020,1,24,293768.6666666667,2696069.6666666665,0.10896182331589109,1,False,20.0,1,1,12.59054788852083
Atlanta,C1206,2020,2,25,195579.66666666666,2401318.6666666665,0.08144677729847323,1,False,20.0,1,1,12.1837230775324
Atlanta,C1206,2020,3,26,232766.0,2506585.0,0.09286180201349645,1,False,20.0,1,1,12.35778893606339
Atlanta,C1206,2020,4,27,242717.0,2593568.6666666665,0.09358418117841749,1,False,20.0,1,1,12.399651434585078
Atlanta,C1206,2021,1,28,243150.0,2581383.6666666665,0.094193669519099,1,False,20.0,1,1,12.401433815831933
