city,period,treated,post,d,cohort,true_effect,y
city_00,1,0,0,0,,0.0,101.93449768842822
city_00,2,0,0,0,,0.0,105.88088978622041
city_00,3,0,0,0,,0.0,103.14530675623855
city_00,4,0,0,0,,0.0,101.13914738821147
city_00,5,0,0,0,,0.0,108.49927328500249
city_00,6,0,0,0,,0.0,104.70513729629971
city_00,7,0,1,0,,0.0,103.1046662346955
city_00,8,0,1,0,,0.0,107.42858393199745
city_00,9,0,1,0,,0.0,105.91257789742782
city_00,10,0,1,0,,0.0,105.83019160600817
city_00,11,0,1,0,,0.0,105.77610639492175
city_00,12,0,1,0,,0.0,108.00401491205021
city_01,1,0,0,0,,0.0,99.62382304095749
city_01,2,0,0,0,,0.0,99.68464098964054
city_01,3,0,0,0,,0.0,105.0644153848523
city_01,4,0,0,0,,0.0,102.906531696578
city_01,5,0,0,0,,0.0,103.88583583557511
city_01,6,0,0,0,,0.0,103.04134586933594
city_01,7,0,1,0,,0.0,105.9673918859509
city_01,8,0,1,0,,0.0,107.23668756779087
city_01,9,0,1,0,,0.0,104.48110941862022
city_01,10,0,1,0,,0.0,103.42337622683965
city_01,11,0,1,0,,0.0,106.07571921764682
city_01,12,0,1,0,,0.0,110.32721878214154
city_02,1,1,0,0,7.0,0.0,95.37209098342016
city_02,2,1,0,0,7.0,0.0,100.06674959325814
city_02,3,1,0,0,7.0,0.0,99.37954221034529
city_02,4,1,0,0,7.0,0.0,99.21174644714549
city_02,5,1,0,0,7.0,0.0,101.05819924656558
city_02,6,1,0,0,7.0,0.0,99.90315236691312
city_02,7,1,1,1,7.0,3.0,102.71250858367188
city_02,8,1,1,1,7.0,3.0,101.72600932236448
city_02,9,1,1,1,7.0,3.0,106.7362410578784
city_02,10,1,1,1,7.0,3.0,106.12833176713008
city_02,11,1,1,1,7.0,3.0,106.61089335562465
city_02,12,1,1,1,7.0,3.0,102.6686181104096
city_03,1,1,0,0,7.0,0.0,102.02080274219317
city_03,2,1,0,0,7.0,0.0,105.48969642183124
city_03,3,1,0,0,7.0,0.0,103.57667759467554
city_03,4,1,0,0,7.0,0.0,108.75657904903012
